Energy,Pd Ecom,Pd Scat,Ti Ecom,Ti Scat,D Ecom,D Scat,Tr Ecom,Tr Scat
3.0,2.9446596568898724,5.569045796181202e-15,2.879681396337502,5.4604082536111136e-15,1.5,4.35929528081228e-15,1.8000000000000003,4.0349783982077225e-15
3.1306654540504315,3.0729147539203736,5.500399430472726e-15,3.005106355395175,5.386411472207293e-15,1.5653327270252158,4.2816269142355866e-15,1.8783992724302592,3.9620264896796594e-15
3.26702206172826,3.2067560211134616,5.432229265579019e-15,3.135994217527687,5.313078008206188e-15,1.63351103086413,4.205080198863663e-15,1.9602132370369563,3.890169068486667e-15
3.409317702091092,3.3464267649560417,5.364605127836074e-15,3.27258292030528,5.240394328068266e-15,1.704658851045546,4.129667349288318e-15,2.0455906212546555,3.819370041385723e-15
3.5578110506063894,3.4921808891858697,5.297478559590996e-15,3.415120764705067,5.168359732990709e-15,1.7789055253031947,4.0553258667485444e-15,2.134686630363834,3.7496126315097284e-15
3.7127720493907637,3.6442833563564387,5.230876351245119e-15,3.5638668664908146,5.096982118154889e-15,1.8563860246953818,3.982095793743353e-15,2.2276632296344583,3.6809012156823356e-15
3.87448239793056,3.8030106695053516,5.1648009587118245e-15,3.719091627252583,5.026247111375757e-15,1.93724119896528,3.909934051380584e-15,2.324689438758336,3.6132011021567775e-15
4.043236065175889,3.9686513748018637,5.0992270681421075e-15,3.8810772259626165,4.956165370141321e-15,2.0216180325879445,3.838833487751211e-15,2.4259416391055333,3.5465129714819663e-15
4.2193398239389825,4.1415065860873135,5.034174942289615e-15,4.050118131941013,4.88673611739326e-15,2.1096699119694913,3.768795472007396e-15,2.5316038943633896,3.4808321149104964e-15
4.403113808568328,4.321890532261958,4.969651271983465e-15,4.22652164016366,4.817961334393863e-15,2.201556904284164,3.699789102312513e-15,2.641868285140997,3.4161397537220102e-15
4.594892096912428,4.51013112851338,4.905631141409637e-15,4.410608429885645,4.749846584126905e-15,2.297446048456214,3.631824235782945e-15,2.756935258147457,3.352412405977611e-15
4.795023317631027,4.706570572424773,4.842126045940046e-15,4.602713147595532,4.682385329806426e-15,2.3975116588155134,3.5648583469139915e-15,2.8770139905786163,3.289651834406025e-15
