Energy,Pd Ecom,Pd Scat,Ti Ecom,Ti Scat,D Ecom,D Scat,Tr Ecom,Tr Scat
3.0,2.9446596568898724,3.3569935987894155e-15,2.879681396337502,3.15392306021607e-15,1.5,2.154231871600691e-15,1.8000000000000003,1.9660971272104623e-15
3.1306654540504315,3.0729147539203736,3.3082698877457456e-15,3.005106355395175,3.104529829777235e-15,1.5653327270252158,2.109070725154458e-15,1.8783992724302592,1.92395904857717e-15
3.26702206172826,3.2067560211134616,3.260056986277453e-15,3.135994217527687,3.0557261632162786e-15,1.63351103086413,2.0646282809466206e-15,1.9602132370369563,1.8825083732545752e-15
3.409317702091092,3.3464267649560417,3.212355321476538e-15,3.27258292030528,3.0075086635825188e-15,1.704658851045546,2.0208975654986352e-15,2.0455906212546555,1.8417376708148648e-15
3.5578110506063894,3.4921808891858697,3.165162450154416e-15,3.415120764705067,2.9598729680369216e-15,1.7789055253031947,1.9778713628551283e-15,2.134686630363834,1.8016398825214924e-15
3.7127720493907637,3.6442833563564387,3.1184761484890936e-15,3.5638668664908146,2.9128144913873733e-15,1.8563860246953818,1.935541277311053e-15,2.2276632296344583,1.7622081427504543e-15
3.87448239793056,3.8030106695053516,3.072295470919881e-15,3.719091627252583,2.86633006524548e-15,1.93724119896528,1.8939012997760286e-15,2.324689438758336,1.7234342654406225e-15
4.043236065175889,3.9686513748018637,3.0266181854931885e-15,3.8810772259626165,2.8204144454396917e-15,2.0216180325879445,1.8529434014964556e-15,2.4259416391055333,1.6853120019658209e-15
4.2193398239389825,4.1415065860873135,2.9814424989449093e-15,4.050118131941013,2.7750637222201633e-15,2.1096699119694913,1.8126605132306852e-15,2.5316038943633896,1.6478339819608653e-15
4.403113808568328,4.321890532261958,2.9367663552761728e-15,4.22652164016366,2.730273741574542e-15,2.201556904284164,1.773045001333339e-15,2.641868285140997,1.6109929224094648e-15
4.594892096912428,4.51013112851338,2.892587411765708e-15,4.410608429885645,2.6860391693106325e-15,2.297446048456214,1.7340900316362907e-15,2.756935258147457,1.5747818200097304e-15
4.795023317631027,4.706570572424773,2.8489039553750366e-15,4.602713147595532,2.6423566902726753e-15,2.3975116588155134,1.695788503543666e-15,2.8770139905786163,1.5391940877421368e-15
5.003871283957907,4.91156596604686,2.8057129900313926e-15,4.803185015360345,2.5992207902107173e-15,2.5019356419789536,1.6581328387293597e-15,3.002322770374745,1.5042220285965824e-15
5.221815655067331,5.1254899650642445,2.763012415317133e-15,5.012388465667106,2.5566270295974455e-15,2.6109078275336657,1.621116336521037e-15,3.133089393040399,1.46985909788818e-15
5.449252626246332,5.348731456236253,2.720800312258499e-15,5.230703803914945,2.5145710236824413e-15,2.724626313123166,1.5847317994423253e-15,3.269551575747799,1.4360985138690502e-15
5.686595649127657,5.581696264343897,2.6790731083462133e-15,5.458527899762232,2.473048149805681e-15,2.8432978245638285,1.5489723826314074e-15,3.411957389476595,1.402933249065569e-15
5.9342761832924795,5.824807889927925,2.637829010797709e-15,5.696274908585357,2.4320534388517533e-15,2.9671380916462398,1.5138306721755329e-15,3.560565709975488,1.3703564756931475e-15
6.192744480609328,6.078508279159239,2.5970652482365656e-15,5.94437702436081,2.391581899518526e-15,3.096372240304664,1.4793003775598254e-15,3.715646688365597,1.3383613858727153e-15
6.462470403735033,6.34325862724112,2.5567787811978738e-15,6.20328526533916,2.3516291380736558e-15,3.2312352018675163,1.4453737408524752e-15,3.8774822422410202,1.3069420120650262e-15
6.743944280265529,6.619540216803704,2.5169661774567348e-15,6.4734702939391155,2.3121903182642115e-15,3.3719721401327645,1.412044295121755e-15,4.046366568159318,1.276090117361667e-15
7.0376777940894275,6.90785529281495,2.477625400249011e-15,6.755423272352291,2.2732603545133096e-15,3.5188388970447138,1.379305751111956e-15,4.2226066764536565,1.2458005212658091e-15
7.344204915564537,7.208727975598395,2.4387531297207826e-15,7.049656755413876,2.2348347976904286e-15,3.6721024577822683,1.3471506843500783e-15,4.406522949338722,1.216066038800896e-15
7.664082872208409,7.522705213617588,2.400346178569198e-15,7.356705622362481,2.196908779974251e-15,3.8320414361042046,1.3155725178314369e-15,4.598449723325046,1.186879952245742e-15
7.997893161667488,7.850357777759215,2.36240132745526e-15,7.67712804918293,2.1594771781915248e-15,3.998946580833744,1.284564211687581e-15,4.798735897000493,1.1582359931972771e-15
8.346242608806184,8.192281298922284,2.3249154367823345e-15,8.011506523299516,2.122535717400674e-15,4.173121304403092,1.2541199561817945e-15,5.00774556528371,1.1301278891521018e-15
8.709764468837752,8.549097350799794,2.287885395024903e-15,8.360448902464489,2.08607890865908e-15,4.354882234418876,1.2242325165606841e-15,5.225858681302652,1.1025489640417659e-15
9.089119578502082,8.92145457982099,2.251307647093153e-15,8.724589519766468,2.05010279749806e-15,4.544559789251041,1.1948955578675476e-15,5.45347174710125,1.0754928344080008e-15
9.484997557383284,9.310029884308513,2.215178672623513e-15,9.104590336767764,2.014601924150204e-15,4.742498778691642,1.1661023904049674e-15,5.69099853442997,1.0489530416444151e-15
9.898118061550853,9.715529644993929,2.179495029235844e-15,9.501142146866735,1.979572077694149e-15,4.949059030775427,1.1378468573219392e-15,5.938870836930512,1.022923387236629e-15
10.329232091803279,10.138691009128435,2.1442536687454128e-15,9.914965831072733,1.9450080296132933e-15,5.1646160459016395,1.1101220994241765e-15,6.197539255081968,9.973976245704891e-16
10.77912335889253,10.580283230523362,2.1094503795238612e-15,10.346813668476608,1.9109057484811526e-15,5.389561679446265,1.0829218771985249e-15,6.467474015335519,9.72369179470525e-16
